HeatNo,LFVD_AlBloki,LFVD_AlGran,LFVD_Boksit,LFVD_CaO,LFVD_CaSi,LFVD_CASIfi13,LFVD_Cfi13,LFVD_CoMet,LFVD_Cu,LFVD_EPŽŽlindra,LFVD_FeAl,LFVD_FeB,LFVD_FeBŽica,LFVD_FeCrNit,LFVD_FeCrA,LFVD_FeCrC,LFVD_FeCrCSi,LFVD_FeCrC51,LFVD_FeMnA,LFVD_FeMnC,LFVD_FeMo,LFVD_FeNbTa,LFVD_FeNbTafi13,LFVD_FeS,LFVD_FeSi,LFVD_FeSiZrŽica,LFVD_FeTi,LFVD_FeTifi13,LFVD_FeV,LFVD_FeW72,LFVD_KarboritMleti,LFVD_MnMet,LFVD_NiGran,LFVD_NiKatode,LFVD_NiOksid,LFVD_OdpCu,LFVD_Polymox,LFVD_SŽica,LFVD_SiMet,LFVD_SiMn,LFVD_SLAGMAG65B,LFVD_KarboritZaVpih,LFVD_Ni90,LFVD_AlŽica,LFVD_Molyquick,LFVD_AlOplašèenaŽica,LFVD_BelaŽlindra,LFVD_Kisik,LFVD_KalcijevKarbid,LFVD_WPaketi,LFVD_SintŽlindra
71601,15,0,150,300,0,16.5,25.8,0,0,100,0,0,0,0,0,1900,0,0,0,70,320,0,0,0,190,0,0,0,510,0,25,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71602,20,0,50,200,0,16.5,0.0,0,0,0,0,0,0,0,0,2000,0,0,0,70,650,0,0,0,150,0,0,0,490,0,50,0,0,0,0,0,0,0.0,0,0,140,0,0,0.0,0,0.0,0,0,0,0,0
71609,20,0,70,200,0,16.5,0.0,0,0,0,0,0,0,0,0,200,0,0,0,70,40,0,0,0,130,0,0,0,220,0,60,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71610,20,0,50,300,0,16.5,0.0,0,0,100,0,0,0,0,0,0,0,0,0,70,420,0,0,0,130,0,0,0,390,0,300,0,0,0,0,0,0,0.0,0,0,150,0,0,0.0,0,0.0,0,0,0,0,0
71616,5,0,70,300,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,0,0,0,150,0,0,0,290,0,210,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71638,15,0,70,300,0,23.5,34.4,0,0,0,0,0,0,0,0,200,0,0,0,40,120,0,0,0,50,0,0,0,290,0,125,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71641,12,0,80,300,0,23.5,10.3,0,0,100,0,0,0,0,0,0,0,0,0,30,150,0,0,0,120,0,0,0,200,0,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71642,15,0,80,300,0,16.5,17.2,0,0,0,0,0,0,0,0,400,0,0,0,50,200,0,0,0,140,0,0,0,320,0,95,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71643,15,0,80,300,0,16.5,0.0,0,0,0,0,0,0,0,0,450,0,0,0,50,175,0,0,0,70,0,0,0,320,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71644,10,0,70,300,0,16.5,0.0,0,0,0,0,0,0,0,0,900,0,0,0,20,180,0,0,0,60,0,0,0,230,0,70,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
