HeatNo,LFVD_LastTemperature
71601,1460.0
71602,1460.0
71609,1460.0
71610,1460.0
71616,1460.0
71638,1460.0
71641,1460.0
71642,1460.0
71643,1460.0
71644,1460.0
71756,1460.0
71765,1455.0
71774,1460.0
71777,1455.0
71778,1455.0
71780,1455.0
71807,1455.0
71815,1455.0
71816,1455.0
71855,1455.0
71856,1455.0
71864,1455.0
71865,1455.0
71867,1455.0
71870,1455.0
71876,1455.0
71877,1455.0
71878,1455.0
71890,1455.0
71891,1455.0
71900,1455.0
71901,1455.0
71904,1455.0
71906,1455.0
71910,1455.0
71930,1455.0
71931,1455.0
71944,1455.0
71945,1455.0
71951,1455.0
71955,1455.0
71957,1455.0
71959,1455.0
71960,1455.0
71963,1455.0
71987,1455.0
71988,1455.0
71989,1455.0
71990,1455.0
71991,1455.0
71992,1455.0
72025,1455.0
72026,1455.0
72027,1455.0
72033,1455.0
72034,1455.0
72037,1455.0
72040,1455.0
72072,1455.0
72073,1455.0
72074,1455.0
72093,1455.0
72094,1455.0
72109,1455.0
72110,1455.0
72112,1455.0
72113,1455.0
72114,1455.0
72120,1455.0
72121,1455.0
72134,1455.0
72136,1455.0
72137,1455.0
72138,1455.0
72155,1455.0
72157,1455.0
72199,1455.0
72206,1455.0
72212,1455.0
72216,1455.0
72217,1455.0
72218,1455.0
72224,1455.0
72225,1455.0
72236,1455.0
72237,1455.0
72238,1455.0
72240,1455.0
72241,1455.0
72244,1455.0
72245,1455.0
72246,1455.0
72279,1455.0
72281,1455.0
72285,1455.0
72289,1455.0
72307,1455.0
72308,1455.0
72314,1455.0
72315,1455.0
72319,1455.0
72320,1455.0
72323,1455.0
72335,
72336,
72337,1455.0
72343,1455.0
72344,1455.0
72345,1455.0
72349,1455.0
72353,1455.0
72354,1455.0
72363,1455.0
72364,1455.0
72372,1455.0
72373,1455.0
72374,1455.0
72375,1455.0
72381,1455.0
72382,1455.0
72383,1455.0
72386,1455.0
72420,1455.0
72421,1455.0
72429,1455.0
72430,1455.0
72437,1455.0
72454,1455.0
72471,1455.0
72474,1455.0
72475,1455.0
72476,1455.0
72477,1455.0
72480,1455.0
72481,1455.0
72494,1455.0
72509,1455.0
72510,1455.0
72540,1455.0
72542,1455.0
72549,1455.0
72550,1455.0
72556,1455.0
72565,1455.0
72568,1455.0
72579,1455.0
72589,1455.0
72590,1455.0
72596,1455.0
72605,1455.0
72607,1455.0
72608,1455.0
72609,1455.0
72610,1455.0
72616,1455.0
72627,1455.0
72628,1455.0
72644,1455.0
72654,1455.0
72659,1455.0
72677,1455.0
72690,1455.0
72691,1455.0
72692,1455.0
72702,1455.0
72704,1455.0
72717,1455.0
72718,1455.0
72720,1455.0
72722,1455.0
72723,1455.0
72737,1455.0
72738,1455.0
72744,1455.0
72745,1455.0
72747,1455.0
72757,1455.0
72772,1455.0
72773,1455.0
72775,1455.0
72778,1455.0
72783,1455.0
72786,1455.0
72790,1455.0
72796,1455.0
72805,1455.0
72806,1455.0
72812,1455.0
72813,1455.0
72832,1455.0
72833,1455.0
72834,1455.0
72841,1455.0
72843,1455.0
72844,1455.0
72852,1455.0
72853,1455.0
72860,1455.0
72863,1455.0
72867,1455.0
72868,1455.0
72869,1455.0
72871,1455.0
72877,1455.0
72901,1455.0
72904,1455.0
72928,1455.0
72934,1455.0
72942,1455.0
72943,1455.0
72948,1455.0
72949,1455.0
72951,1455.0
72952,1455.0
72956,1455.0
72968,1455.0
72969,1455.0
72971,1455.0
72973,1455.0
72975,1455.0
72977,1455.0
72978,1455.0
72980,1455.0
72998,1455.0
72999,1455.0
73001,1455.0
73006,1455.0
73010,1455.0
73011,1455.0
73012,1455.0
73018,1455.0
73022,1455.0
73023,1455.0
73026,1455.0
73027,1455.0
73034,1455.0
73050,1455.0
73056,1455.0
73066,1455.0
73068,1455.0
73069,1455.0
73076,1455.0
73077,1455.0
73078,1455.0
73079,1455.0
73082,1455.0
73092,1455.0
73096,1455.0
73102,1455.0
73109,1455.0
73111,1455.0
73112,1455.0
73143,1455.0
73144,1455.0
73145,1455.0
73150,1455.0
73151,1455.0
73176,1455.0
73177,1455.0
73182,1455.0
73183,1455.0
73188,1455.0
73198,1455.0
73203,1455.0
73207,1455.0
73208,1455.0
73216,1455.0
73229,1455.0
73234,1455.0
73260,1455.0
73261,1455.0
73268,1455.0
73286,1455.0
73287,1455.0
73297,1455.0
73298,1455.0
73304,1455.0
73321,1455.0
73323,1455.0
73325,1455.0
73338,1455.0
73343,1455.0
73347,1455.0
73348,1455.0
73349,1455.0
73356,1455.0
73377,1455.0
73385,1455.0
73386,1455.0
73389,1455.0
73408,1455.0
73416,1455.0
73417,1455.0
73418,1455.0
73419,1455.0
73428,1455.0
73429,1455.0
73430,1455.0
73435,1455.0
73436,1455.0
73445,1455.0
73446,1455.0
73453,1455.0
73454,1455.0
73461,1455.0
73466,1455.0
73467,1455.0
73468,1455.0
73477,1455.0
73484,1455.0
73485,1455.0
73486,1455.0
73495,1455.0
73497,1455.0
73499,1455.0
73503,1455.0
73507,1455.0
73508,1455.0
73525,1455.0
73526,1455.0
73530,1455.0
73531,1455.0
73535,1455.0
73536,1455.0
73541,1455.0
73550,1455.0
73558,1455.0
73559,1455.0
73562,1455.0
73579,1455.0
73580,1455.0
73581,1455.0
73589,1455.0
73590,1455.0
73597,1455.0
73598,1455.0
73599,1455.0
73600,1455.0
73614,1455.0
73626,1455.0
73627,1455.0
73636,1455.0
73637,1455.0
73638,1455.0
73639,1455.0
73642,1455.0
73647,1455.0
73648,1455.0
73657,1455.0
73658,1455.0
73670,1455.0
73681,1455.0
73684,1455.0
73703,1455.0
73713,1455.0
73719,1455.0
73720,1455.0
73745,1455.0
73769,1455.0
73779,1455.0
73780,1455.0
73788,1455.0
73789,1455.0
73805,1455.0
73811,1520.0
73812,1461.0
73819,1446.0
73820,1454.0
73845,1455.0
73853,1455.0
73854,1455.0
73863,1455.0
73871,1454.0
73872,1437.0
73875,1495.0
73876,1466.0
73884,1455.0
73885,1455.0
73886,1455.0
73888,1455.0
73893,1455.0
73894,1455.0
73912,1455.0
73913,1455.0
73923,1455.0
73924,1455.0
73928,1455.0
73938,1455.0
73945,1455.0
73946,1455.0
73947,1455.0
73965,1455.0
73966,1455.0
73967,1455.0
73989,1455.0
73994,1455.0
73996,1455.0
74003,1455.0
74005,1455.0
74023,1455.0
74041,1455.0
74044,1455.0
74074,1455.0
74075,1455.0
74079,1455.0
74083,1455.0
74089,1455.0
74090,1455.0
74094,1455.0
74101,1455.0
74119,1455.0
74121,1455.0
74132,1455.0
74134,1455.0
74138,1455.0
74141,1455.0
74144,1455.0
74171,1455.0
74176,1455.0
74179,1455.0
74189,1455.0
74209,1455.0
74211,1455.0
74212,1455.0
74218,1455.0
74221,1455.0
74232,1455.0
74241,1455.0
74251,1455.0
74265,1455.0
74273,1455.0
74276,1455.0
74283,1455.0
74286,1455.0
74293,1455.0
74294,1455.0
74304,1455.0
74306,1455.0
74326,1455.0
74342,1455.0
74343,1455.0
74357,1455.0
74371,1455.0
74374,1455.0
74375,1455.0
74376,1455.0
74384,1455.0
74390,1455.0
74392,1455.0
74413,1455.0
74420,1455.0
74429,1455.0
74431,1455.0
74441,1455.0
74442,1455.0
74449,1455.0
74450,
74451,1455.0
74470,1455.0
74471,1455.0
74477,1455.0
74478,1455.0
74498,1455.0
74499,1455.0
74500,1455.0
74503,1455.0
74512,1455.0
74513,1455.0
74514,1455.0
74530,1455.0
74531,1455.0
74541,1455.0
74542,1455.0
74582,1455.0
