HeatNo,LFVD_AlloyWeight,LFVD_NonMetalInclusionsWeight
71601,3032,690
71602,3376,460
71609,676,450
71610,1026,920
71616,526,585
71638,758,510
71641,534,517
71642,1143,490
71643,1081,395
71644,1406,450
71756,2781,465
71765,2466,815
71774,2011,635
71777,1386,400
71778,1306,640
71780,766,510
71807,781,912
71815,1016,762
71816,1075,503
71855,1251,465
71856,1591,410
71864,1326,415
71865,1196,545
71867,1155,975
71870,1276,490
71876,1186,460
71877,2321,515
71878,3005,641
71890,3186,915
71891,2176,395
71900,1656,390
71901,1116,395
71904,2342,640
71906,1646,575
71910,1596,455
71930,2126,580
71931,740,470
71944,2473,615
71945,983,510
71951,1174,985
71955,2226,603
71957,1130,505
71959,2742,827
71960,1216,457
71963,1962,717
71987,2053,615
71988,1867,565
71989,2038,405
71990,1089,604
71991,1534,624
71992,1261,621
72025,1107,610
72026,1037,590
72027,1496,640
72033,3656,530
72034,3079,557
72037,690,795
72040,1055,690
72072,1173,731
72073,1034,604
72074,967,864
72093,2272,310
72094,1123,560
72109,1486,567
72110,1526,550
72112,919,1012
72113,1350,827
72114,1501,647
72120,1974,542
72121,1594,620
72134,1801,460
72136,1016,465
72137,1421,550
72138,1466,700
72155,1426,640
72157,1331,595
72199,2539,700
72206,3061,675
72212,859,695
72216,1521,697
72217,1541,470
72218,1269,410
72224,1011,528
72225,1111,893
72236,2470,627
72237,3105,1070
72238,1566,1020
72240,2366,490
72241,1091,470
72244,1856,550
72245,1354,510
72246,1006,395
72279,2311,535
72281,1601,565
72285,916,510
72289,1864,530
72307,2170,528
72308,1086,438
72314,2271,520
72315,1063,603
72319,1931,680
72320,2336,720
72323,1716,565
72335,0,2440
72336,0,2043
72337,1076,510
72343,1406,575
72344,2586,500
72345,2406,415
72349,2136,560
72353,2136,510
72354,1387,510
72363,1806,385
72364,2586,380
72372,1966,540
72373,1173,520
72374,1366,615
72375,1364,425
72381,1484,563
72382,1596,530
72383,690,490
72386,955,690
72420,1460,430
72421,1231,190
72429,1888,590
72430,2404,515
72437,2528,385
72454,2281,595
72471,2530,1120
72474,1255,667
72475,1516,685
72476,1322,570
72477,1116,560
72480,1846,532
72481,1815,567
72494,1552,460
72509,2871,856
72510,1720,651
72540,1240,452
72542,1923,542
72549,1741,358
72550,1641,375
72556,1406,410
72565,1356,360
72568,761,592
72579,1276,435
72589,2129,985
72590,2276,1135
72596,1843,587
72605,1213,619
72607,3136,755
72608,656,355
72609,856,427
72610,946,380
72616,2477,554
72627,1793,666
72628,1051,559
72644,2543,435
72654,1761,519
72659,2595,693
72677,1061,495
72690,2026,385
72691,1101,435
72692,1825,1260
72702,1474,577
72704,1572,529
72717,966,655
72718,1912,935
72720,1692,555
72722,1394,910
72723,1231,615
72737,2738,1130
72738,1806,747
72744,822,680
72745,1193,862
72747,725,1032
72757,1868,1322
72772,1166,160
72773,1703,470
72775,1711,550
72778,783,355
72783,1256,610
72786,1581,493
72790,951,730
72796,1329,1048
72805,1586,630
72806,1016,685
72812,1522,485
72813,2376,738
72832,2320,881
72833,1225,836
72834,1631,606
72841,1936,511
72843,1822,687
72844,1916,528
72852,1542,705
72853,1876,380
72860,1582,721
72863,591,520
72867,3073,735
72868,2643,695
72869,2431,541
72871,2206,320
72877,3185,1121
72901,2076,811
72904,1651,598
72928,1438,808
72934,1621,748
72942,1488,555
72943,1589,609
72948,2416,970
72949,1326,508
72951,2366,615
72952,962,738
72956,1686,646
72968,1223,401
72969,1484,507
72971,1132,570
72973,1552,1021
72975,2667,1165
72977,10451,485
72978,1156,645
72980,656,575
72998,1161,460
72999,1326,458
73001,1244,418
73006,846,805
73010,1546,353
73011,1191,532
73012,875,533
73018,1117,385
73022,1303,337
73023,2286,831
73026,1916,736
73027,1791,786
73034,1613,541
73050,1236,852
73056,1434,525
73066,971,507
73068,1121,896
73069,1301,825
73076,911,562
73077,1293,940
73078,1676,900
73079,1356,696
73082,691,554
73092,596,575
73096,1276,502
73102,767,850
73109,1166,395
73111,956,375
73112,706,385
73143,1936,510
73144,1106,525
73145,766,960
73150,2117,432
73151,1726,487
73176,1733,600
73177,1040,1073
73182,2128,480
73183,661,430
73188,891,1155
73198,1616,560
73203,770,540
73207,946,380
73208,1406,575
73216,1286,425
73229,1255,600
73234,946,455
73260,1674,564
73261,616,476
73268,1315,517
73286,916,450
73287,991,655
73297,2691,570
73298,1586,577
73304,2316,775
73321,1771,685
73323,2574,592
73325,824,413
73338,3459,1161
73343,1091,665
73347,1016,400
73348,2986,859
73349,2721,912
73356,1276,370
73377,2096,1126
73385,2331,859
73386,1526,611
73389,1596,782
73408,2056,1023
73416,1521,137
73417,1266,552
73418,981,598
73419,1686,625
73428,1678,376
73429,966,542
73430,1076,466
73435,1624,606
73436,1094,583
73445,1246,735
73446,686,625
73453,1816,360
73454,1131,421
73461,2439,580
73466,756,612
73467,1456,413
73468,2071,575
73477,1631,1136
73484,1604,515
73485,1136,375
73486,689,480
73495,1014,421
73497,860,691
73499,1036,724
73503,596,380
73507,1616,605
73508,861,370
73525,1696,967
73526,1151,685
73530,1495,751
73531,1521,552
73535,816,655
73536,412,555
73541,1604,543
73550,976,780
73558,2762,487
73559,1612,716
73562,1280,559
73579,3666,972
73580,2131,620
73581,3106,535
73589,2686,701
73590,1821,570
73597,1251,626
73598,1471,644
73599,1921,515
73600,1849,357
73614,1670,969
73626,3706,728
73627,2036,739
73636,1570,621
73637,1511,465
73638,856,692
73639,2296,704
73642,1131,1046
73647,1581,505
73648,1373,447
73657,1991,436
73658,1396,385
73670,897,542
73681,1894,577
73684,1436,1037
73703,1711,750
73713,1366,617
73719,1981,770
73720,1796,685
73745,3141,755
73769,2011,837
73779,1606,692
73780,1162,191
73788,1671,533
73789,1195,526
73805,1722,686
73811,0,0
73812,2954,700
73819,1194,270
73820,0,0
73845,738,584
73853,1881,1071
73854,1647,1238
73863,1247,1129
73871,1415,155
73872,1550,15
73875,1567,625
73876,983,770
73884,591,560
73885,1921,697
73886,1384,835
73888,799,436
73893,2812,1149
73894,1694,896
73912,1794,765
73913,672,587
73923,2920,763
73924,2105,943
73928,1372,505
73938,2206,857
73945,1029,870
73946,2058,760
73947,1161,495
73965,1214,620
73966,1317,596
73967,1120,532
73989,1306,444
73994,3849,1410
73996,1296,650
74003,2163,1155
74005,2286,945
74023,1216,475
74041,1291,679
74044,1984,955
74074,1706,844
74075,1234,699
74079,1148,880
74083,2128,560
74089,671,626
74090,1232,1050
74094,2626,965
74101,864,840
74119,1456,470
74121,1841,455
74132,2736,550
74134,1542,575
74138,1616,410
74141,1807,890
74144,1831,1005
74171,566,966
74176,1306,655
74179,2766,885
74189,1616,890
74209,577,821
74211,721,1445
74212,1795,670
74218,1489,829
74221,1166,790
74232,905,928
74241,1784,605
74251,3533,793
74265,1559,752
74273,1517,604
74276,1032,867
74283,2686,876
74286,2166,1016
74293,407,871
74294,1273,846
74304,1176,662
74306,2117,1027
74326,1582,910
74342,2766,785
74343,1853,968
74357,1865,939
74371,1194,667
74374,1968,852
74375,2099,733
74376,2843,962
74384,984,877
74390,998,736
74392,2266,719
74413,1463,1209
74420,1840,1049
74429,2084,800
74431,1094,824
74441,2839,820
74442,680,679
74449,1468,608
74450,1180,700
74451,1920,1770
74470,1456,1072
74471,516,755
74477,1546,630
74478,503,1034
74498,2415,885
74499,1059,855
74500,1224,802
74503,2550,780
74512,1161,530
74513,625,505
74514,1391,516
74530,1442,1045
74531,811,795
74541,710,1120
74542,1269,1180
74582,1624,643
74583,811,576
74591,936,815
74592,1268,991
74593,583,635
74604,1097,650
74613,2026,805
74623,2804,679
74625,1419,575
74626,1552,855
74643,3076,1237
74673,1469,595
74677,3356,700
74678,1142,754
74687,2711,851
74695,3209,945
74696,936,665
74697,860,750
74729,1586,710
74735,1419,1035
74742,3036,590
74780,3396,490
74781,1250,449
74790,1631,530
74792,2161,867
74803,2306,1090
74809,1026,815
74810,1014,730
74811,1756,990
74846,1516,885
74848,1381,709
74849,330,746
74857,1217,854
74858,1238,615
