HeatNo,Fill#1_ScrapName,Fill#1_ScrapWeight,Fill#2_ScrapName,Fill#2_ScrapWeight,Fill#3_ScrapName,Fill#3_ScrapWeight,Fill#4_ScrapName,Fill#4_ScrapWeight,Fill#5_ScrapName,Fill#5_ScrapWeight,Fill#6_ScrapName,Fill#6_ScrapWeight
71601,E3,43700,,,,,,,,,,
71602,E3,42100,,,,,,,,,,
71609,OCR12VM,49000,E8,1300.0,,,,,,,,
71610,OCR12,20000,E6,16600.0,OCR12SP,10000.0,,,,,,
71616,OCR12VM,50000,E8,1500.0,E6,0.0,,,,,,
71638,OCR12VM,20000,E6,16600.0,UTOPMO2,10000.0,,,,,,
71641,OCR12VM,20000,E6,13800.0,UTOPMO2,10000.0,,,,,,
71642,OCR12VM,20000,E6,13200.0,UTOPMO2,10000.0,,,,,,
71643,OCR12VM,20000,E6,13200.0,UTOPMO2,10000.0,,,,,,
71644,OCR12VM,20000,E6,13200.0,UTOPMO2,10000.0,,,,,,
71756,E3,43400,,,,,,,,,,
71765,E3,43600,,,,,,,,,,
71774,E3,43700,,,,,,,,,,
71777,E6,23000,OCR12VM,20000.0,,,,,,,,
71778,E6,23000,OCR12VM,20000.0,,,,,,,,
71780,E6,22000,OCR12VM,20000.0,,,,,,,,
71807,OCR12VM,47500,E8,2000.0,,,,,,,,
71815,OCR12VM,46000,E8,2000.0,,,,,,,,
71816,OCR12VM,45000,E8,2200.0,,,,,,,,
71855,OCR12VM,20000,E6,18500.0,,,,,,,,
71856,E6,22600,OCR12VM,20000.0,,,,,,,,
71864,OCR12VM,21000,E8,20100.0,,,,,,,,
71865,OCR12VM,21000,E8,20100.0,,,,,,,,
71867,E6,22500,OCR12VM,21000.0,,,,,,,,
71870,OCR12VM,21030,E8,20200.0,,,,,,,,
71876,E6,24800,OCR12VM,20000.0,,,,,,,,
71877,E6,24500,OCR12VM,20000.0,E8,0.0,,,,,,
71878,E3,43500,E8,0.0,OCR12VM,0.0,,,,,,
71890,E3,43100,,,,,,,,,,
71891,E6,27800,OCR12VM,16000.0,,,,,,,,
71900,E6,27700,OCR12VM,16000.0,,,,,,,,
71901,E6,27600,OCR12VM,16000.0,,,,,,,,
71904,E3,41600,,,,,,,,,,
71906,E6,26500,OCR12VM,16000.0,,,,,,,,
71910,E6,17000,OCR12VM,16000.0,UTOPMO2,10000.0,,,,,,
71930,E6,0,OCR12VM,0.0,UTOPMO2,0.0,,,,,,
71931,E6,20900,OCR12VM,16000.0,UTOPMO2,10000.0,,,,,,
71944,OCR12VM,25000,E6,20600.0,,,,,,,,
71945,OCR12VM,25000,E6,20700.0,,,,,,,,
71951,E3,43600,,,,,,,,,,
71955,E3,43400,,,,,,,,,,
71957,E6,0,OCR12VM,0.0,,,,,,,,
71959,E3,43700,,,,,,,,,,
71960,OCR12VM,25000,E6,19900.0,,,,,,,,
71963,E6,26500,OCR12VM,20000.0,,,,,,,,
71987,E3,43500,,,,,,,,,,
71988,E3,43300,,,,,,,,,,
71989,E3,43100,,,,,,,,,,
71990,OCR12VM,25000,E6,19000.0,,,,,,,,
71991,OCR12VM,25000,E6,18500.0,,,,,,,,
71992,OCR12VM,25000,E6,18700.0,,,,,,,,
72025,E6,26000,OCR12VM,20000.0,,,,,,,,
72026,E6,26100,OCR12VM,20000.0,,,,,,,,
72027,E6,23900,OCR12VM,20000.0,,,,,,,,
72033,E3,43500,,,,,,,,,,
72034,E3,43500,,,,,,,,,,
72037,OCR12VM,43000,E8,1400.0,,,,,,,,
72040,OCR12VM,46500,E8,1700.0,,,,,,,,
